,ticket_id,user_id,company_id,issue_category,created_at,match_id,staff_id,matched_at,company_name,company_size,wait_time,wait_time_minutes
24,25,20,11,Account,2024-02-21 15:02:59.967908,25,42,2024-02-21 15:06:48.967908,Company_11,4,0 days 00:03:49,3.816666666666667
25,26,100,41,Billing,2024-06-04 10:58:29.967908,26,6,2024-06-04 11:03:58.967908,Company_41,15,0 days 00:05:29,5.483333333333333
26,27,1,4,Technical,2024-03-26 02:02:02.967908,27,6,2024-03-26 02:10:30.967908,Company_4,33,0 days 00:08:28,8.466666666666667
27,28,74,48,General Inquiry,2024-07-04 12:16:35.967908,28,20,2024-07-04 12:20:08.967908,Company_48,21,0 days 00:03:33,3.55
28,29,76,8,Technical,2024-06-21 16:03:51.967908,29,21,2024-06-21 16:19:28.967908,Company_8,15,0 days 00:15:37,15.616666666666667
29,30,76,8,Billing,2024-07-01 15:47:40.967908,30,2,2024-07-01 16:12:15.967908,Company_8,15,0 days 00:24:35,24.583333333333332
30,31,93,7,Technical,2024-06-01 06:59:40.967908,31,26,2024-06-01 07:05:07.967908,Company_7,35,0 days 00:05:27,5.45
31,32,91,32,Billing,2024-05-07 22:29:14.967908,32,31,2024-05-07 22:33:51.967908,Company_32,47,0 days 00:04:37,4.616666666666666
32,33,792,21,Technical,2024-03-30 06:42:39.967908,33,26,2024-03-30 06:43:58.967908,Company_21,31,0 days 00:01:19,1.3166666666666667
33,34,76,8,General Inquiry,2024-05-13 16:50:57.967908,34,32,2024-05-13 17:00:42.967908,Company_8,15,0 days 00:09:45,9.75
34,35,13,13,General Inquiry,2024-06-09 21:33:37.967908,35,10,2024-06-09 21:46:20.967908,Company_13,9,0 days 00:12:43,12.716666666666667
35,36,82,22,Technical,2024-04-10 11:50:45.967908,36,23,2024-04-10 11:54:49.967908,Company_22,5,0 days 00:04:04,4.066666666666666
36,37,36,32,Account,2024-07-22 15:36:09.967908,37,6,2024-07-22 15:53:17.967908,Company_32,47,0 days 00:17:08,17.133333333333333
37,38,9,32,Billing,2024-08-03 06:36:59.967908,38,23,2024-08-03 06:37:52.967908,Company_32,47,0 days 00:00:53,0.8833333333333333
38,39,42,35,Billing,2024-02-17 17:40:11.967908,39,28,2024-02-17 17:43:14.967908,Company_35,16,0 days 00:03:03,3.05
39,40,6,7,Account,2024-07-12 19:40:55.967908,40,49,2024-07-12 19:44:43.967908,Company_7,35,0 days 00:03:48,3.8
40,41,851,9,General Inquiry,2024-07-21 22:46:23.967908,41,30,2024-07-21 22:49:48.967908,Company_9,4,0 days 00:03:25,3.4166666666666665
41,42,90,7,Technical,2024-03-18 11:26:58.967908,42,14,2024-03-18 11:44:34.967908,Company_7,35,0 days 00:17:36,17.6
42,43,91,32,Technical,2024-07-01 00:56:55.967908,43,37,2024-07-01 00:57:06.967908,Company_32,47,0 days 00:00:11,0.18333333333333332
43,44,3,4,Technical,2024-05-08 12:54:33.967908,44,32,2024-05-08 13:08:14.967908,Company_4,33,0 days 00:13:41,13.683333333333334
44,45,59,7,Account,2024-04-22 13:03:56.967908,45,49,2024-04-22 13:05:06.967908,Company_7,35,0 days 00:01:10,1.1666666666666667
45,46,82,22,Technical,2024-04-10 10:21:27.967908,46,34,2024-04-10 10:28:56.967908,Company_22,5,0 days 00:07:29,7.483333333333333
46,47,33,1,General Inquiry,2024-03-17 15:58:13.967908,47,41,2024-03-17 16:06:09.967908,Company_1,12,0 days 00:07:56,7.933333333333334
47,48,51,39,Technical,2024-03-29 06:49:05.967908,48,44,2024-03-29 06:53:54.967908,Company_39,1,0 days 00:04:49,4.816666666666666
48,49,20,11,Account,2024-07-13 17:31:25.967908,49,22,2024-07-13 17:34:43.967908,Company_11,4,0 days 00:03:18,3.3
49,50,83,3,Technical,2024-04-21 20:01:39.967908,50,31,2024-04-21 20:30:29.967908,Company_3,14,0 days 00:28:50,28.833333333333332
50,51,10,33,Billing,2024-03-07 07:43:03.967908,51,7,2024-03-07 07:48:21.967908,Company_33,7,0 days 00:05:18,5.3
51,52,78,10,Technical,2024-03-05 11:36:37.967908,52,41,2024-03-05 12:21:18.967908,Company_10,12,0 days 00:44:41,44.68333333333333
52,53,724,48,Technical,2024-04-30 05:58:22.967908,53,21,2024-04-30 06:01:18.967908,Company_48,21,0 days 00:02:56,2.933333333333333
53,54,52,7,General Inquiry,2024-03-06 06:06:51.967908,54,16,2024-03-06 06:16:17.967908,Company_7,35,0 days 00:09:26,9.433333333333334
54,55,50,42,Billing,2024-04-26 04:20:54.967908,55,20,2024-04-26 04:24:47.967908,Company_42,8,0 days 00:03:53,3.8833333333333333
55,56,48,40,Technical,2024-07-30 00:59:36.967908,56,43,2024-07-30 00:59:44.967908,Company_40,8,0 days 00:00:08,0.13333333333333333
56,57,910,8,Technical,2024-04-23 06:19:59.967908,57,44,2024-04-23 06:26:16.967908,Company_8,15,0 days 00:06:17,6.283333333333333
57,58,404,48,Technical,2024-06-12 16:57:02.967908,58,47,2024-06-12 17:03:52.967908,Company_48,21,0 days 00:06:50,6.833333333333333
58,59,26,32,Technical,2024-04-07 20:08:23.967908,59,50,2024-04-07 20:18:20.967908,Company_32,47,0 days 00:09:57,9.95
59,60,78,10,Technical,2024-07-22 04:52:25.967908,60,19,2024-07-22 05:02:02.967908,Company_10,12,0 days 00:09:37,9.616666666666667
60,61,236,25,Technical,2024-02-24 21:52:37.967908,61,48,2024-02-24 22:13:21.967908,Company_25,4,0 days 00:20:44,20.733333333333334
61,62,821,32,Technical,2024-07-07 04:10:47.967908,62,32,2024-07-07 04:13:26.967908,Company_32,47,0 days 00:02:39,2.65
62,63,260,35,Account,2024-05-15 16:27:30.967908,63,15,2024-05-15 16:31:38.967908,Company_35,16,0 days 00:04:08,4.133333333333334
63,64,92,35,Account,2024-05-30 14:23:14.967908,64,5,2024-05-30 14:39:04.967908,Company_35,16,0 days 00:15:50,15.833333333333334
64,65,91,32,Billing,2024-03-11 17:06:55.967908,65,11,2024-03-11 17:13:12.967908,Company_32,47,0 days 00:06:17,6.283333333333333
65,66,16,32,Technical,2024-08-13 13:35:28.967908,66,15,2024-08-13 13:37:59.967908,Company_32,47,0 days 00:02:31,2.5166666666666666
66,67,554,35,Billing,2024-04-29 23:28:53.967908,67,29,2024-04-29 23:45:43.967908,Company_35,16,0 days 00:16:50,16.833333333333332
67,68,95,14,Technical,2024-03-02 18:37:07.967908,68,50,2024-03-02 18:43:47.967908,Company_14,1,0 days 00:06:40,6.666666666666667
68,69,14,4,Technical,2024-06-02 16:04:44.967908,69,45,2024-06-02 16:14:03.967908,Company_4,33,0 days 00:09:19,9.316666666666666
69,70,82,22,Technical,2024-04-13 09:41:35.967908,70,4,2024-04-13 09:45:46.967908,Company_22,5,0 days 00:04:11,4.183333333333334
70,71,24,21,Technical,2024-07-26 12:41:21.967908,71,49,2024-07-26 12:51:37.967908,Company_21,31,0 days 00:10:16,10.266666666666667
71,72,8,40,Billing,2024-06-17 13:03:25.967908,72,36,2024-06-17 13:03:31.967908,Company_40,8,0 days 00:00:06,0.1
72,73,33,1,Account,2024-06-15 13:53:39.967908,73,48,2024-06-15 13:57:08.967908,Company_1,12,0 days 00:03:29,3.4833333333333334
73,74,37,10,Technical,2024-08-06 09:53:15.967908,74,23,2024-08-06 09:53:27.967908,Company_10,12,0 days 00:00:12,0.2
74,75,2,39,Technical,2024-08-01 19:13:42.967908,75,15,2024-08-01 19:21:39.967908,Company_39,1,0 days 00:07:57,7.95
75,76,47,48,Technical,2024-04-26 16:43:28.967908,76,46,2024-04-26 17:01:57.967908,Company_48,21,0 days 00:18:29,18.483333333333334
76,77,72,32,Technical,2024-06-07 14:02:21.967908,77,44,2024-06-07 14:08:15.967908,Company_32,47,0 days 00:05:54,5.9
77,78,83,3,Account,2024-03-24 19:30:47.967908,78,3,2024-03-24 19:36:12.967908,Company_3,14,0 days 00:05:25,5.416666666666667
78,79,93,7,Technical,2024-07-02 06:55:33.967908,79,32,2024-07-02 07:24:12.967908,Company_7,35,0 days 00:28:39,28.65
79,80,58,4,Technical,2024-02-29 23:32:01.967908,80,10,2024-02-29 23:32:05.967908,Company_4,33,0 days 00:00:04,0.06666666666666667
80,81,29,35,General Inquiry,2024-02-25 08:56:25.967908,81,40,2024-02-25 09:19:17.967908,Company_35,16,0 days 00:22:52,22.866666666666667
81,82,17,11,Technical,2024-06-23 21:05:37.967908,82,38,2024-06-23 21:05:37.967908,Company_11,4,0 days 00:00:00,0.0
82,83,74,48,Account,2024-03-31 17:27:58.967908,83,22,2024-03-31 17:31:12.967908,Company_48,21,0 days 00:03:14,3.2333333333333334
83,84,67,4,Technical,2024-07-15 14:08:34.967908,84,14,2024-07-15 14:11:46.967908,Company_4,33,0 days 00:03:12,3.2
84,85,39,45,Billing,2024-04-12 16:01:44.967908,85,17,2024-04-12 16:04:21.967908,Company_45,1,0 days 00:02:37,2.6166666666666667
85,86,11,35,Technical,2024-03-02 23:14:27.967908,86,21,2024-03-02 23:15:20.967908,Company_35,16,0 days 00:00:53,0.8833333333333333
86,87,4,49,Technical,2024-07-31 13:27:10.967908,87,48,2024-07-31 13:28:55.967908,Company_49,10,0 days 00:01:45,1.75
87,88,48,40,Technical,2024-04-01 16:16:02.967908,88,15,2024-04-01 16:34:07.967908,Company_40,8,0 days 00:18:05,18.083333333333332
88,89,68,12,Billing,2024-08-02 17:29:23.967908,89,15,2024-08-02 17:37:30.967908,Company_12,4,0 days 00:08:07,8.116666666666667
89,90,96,32,Technical,2024-03-07 02:05:02.967908,90,1,2024-03-07 02:08:36.967908,Company_32,47,0 days 00:03:34,3.566666666666667
90,91,20,11,Technical,2024-04-30 06:53:59.967908,91,24,2024-04-30 09:08:20.967908,Company_11,4,0 days 02:14:21,134.35
91,92,76,8,Account,2024-04-10 10:50:03.967908,92,12,2024-04-10 10:50:33.967908,Company_8,15,0 days 00:00:30,0.5
92,93,4,49,General Inquiry,2024-05-14 12:25:42.967908,93,10,2024-05-14 12:28:07.967908,Company_49,10,0 days 00:02:25,2.4166666666666665
93,94,7,1,Billing,2024-06-18 21:53:15.967908,94,46,2024-06-18 21:56:17.967908,Company_1,12,0 days 00:03:02,3.033333333333333
94,95,85,45,Account,2024-07-27 10:37:10.967908,95,42,2024-07-27 10:41:56.967908,Company_45,1,0 days 00:04:46,4.766666666666667
95,96,85,45,Account,2024-04-27 07:37:28.967908,96,42,2024-04-27 07:39:03.967908,Company_45,1,0 days 00:01:35,1.5833333333333333
96,97,41,19,Account,2024-03-19 01:24:22.967908,97,31,2024-03-19 01:24:44.967908,Company_19,2,0 days 00:00:22,0.36666666666666664
97,98,10,33,Account,2024-04-28 08:33:06.967908,98,11,2024-04-28 08:35:04.967908,Company_33,7,0 days 00:01:58,1.9666666666666666
98,99,66,7,Account,2024-04-25 11:03:53.967908,99,16,2024-04-25 11:12:45.967908,Company_7,35,0 days 00:08:52,8.866666666666667
99,100,54,26,Billing,2024-03-28 03:45:24.967908,100,9,2024-03-28 03:48:55.967908,Company_26,8,0 days 00:03:31,3.5166666666666666
100,101,63,1,Account,2024-06-25 14:37:33.967908,101,47,2024-06-25 14:40:43.967908,Company_1,12,0 days 00:03:10,3.1666666666666665
101,102,10,33,Technical,2024-04-08 07:35:24.967908,102,14,2024-04-08 07:51:02.967908,Company_33,7,0 days 00:15:38,15.633333333333333
102,103,30,22,Technical,2024-07-01 18:06:10.967908,103,19,2024-07-01 18:09:21.967908,Company_22,5,0 days 00:03:11,3.183333333333333
103,104,278,21,Technical,2024-06-28 04:56:46.967908,104,31,2024-06-28 04:57:29.967908,Company_21,31,0 days 00:00:43,0.7166666666666667
104,105,864,8,Technical,2024-06-21 07:26:49.967908,105,9,2024-06-21 07:36:43.967908,Company_8,15,0 days 00:09:54,9.9
105,106,22,32,Account,2024-03-01 08:08:35.967908,106,36,2024-03-01 08:11:50.967908,Company_32,47,0 days 00:03:15,3.25
106,107,79,8,Technical,2024-06-13 18:08:22.967908,107,39,2024-06-13 18:16:59.967908,Company_8,15,0 days 00:08:37,8.616666666666667
107,108,67,4,Account,2024-06-18 18:35:47.967908,108,26,2024-06-18 18:36:55.967908,Company_4,33,0 days 00:01:08,1.1333333333333333
108,109,28,28,General Inquiry,2024-03-20 16:56:50.967908,109,8,2024-03-20 17:02:16.967908,Company_28,10,0 days 00:05:26,5.433333333333334
109,110,858,38,Billing,2024-05-30 04:39:20.967908,110,24,2024-05-30 04:52:47.967908,Company_38,1,0 days 00:13:27,13.45
110,111,24,21,Billing,2024-07-07 01:21:37.967908,111,8,2024-07-07 01:24:10.967908,Company_21,31,0 days 00:02:33,2.55
111,112,9,32,Technical,2024-04-04 00:17:05.967908,112,19,2024-04-04 00:26:46.967908,Company_32,47,0 days 00:09:41,9.683333333333334
112,113,31,24,Technical,2024-03-19 04:53:38.967908,113,47,2024-03-19 04:54:09.967908,Company_24,1,0 days 00:00:31,0.5166666666666667
113,114,258,8,Account,2024-05-16 05:40:19.967908,114,48,2024-05-16 05:47:44.967908,Company_8,15,0 days 00:07:25,7.416666666666667
114,115,89,49,Technical,2024-04-30 03:46:25.967908,115,30,2024-04-30 03:47:31.967908,Company_49,10,0 days 00:01:06,1.1
115,116,42,35,Technical,2024-04-08 21:25:52.967908,116,22,2024-04-08 21:27:53.967908,Company_35,16,0 days 00:02:01,2.0166666666666666
116,117,931,47,Technical,2024-08-14 04:01:07.967908,117,9,2024-08-14 04:03:36.967908,Company_47,4,0 days 00:02:29,2.4833333333333334
117,118,251,18,Billing,2024-06-19 17:59:54.967908,118,44,2024-06-19 18:04:21.967908,Company_18,10,0 days 00:04:27,4.45
118,119,53,43,Account,2024-06-29 02:27:01.967908,119,48,2024-06-29 02:29:42.967908,Company_43,6,0 days 00:02:41,2.683333333333333
119,120,58,4,Account,2024-06-03 14:57:26.967908,120,4,2024-06-03 15:11:06.967908,Company_4,33,0 days 00:13:40,13.666666666666666
120,121,441,46,Technical,2024-03-30 02:51:51.967908,121,37,2024-03-30 03:05:15.967908,Company_46,3,0 days 00:13:24,13.4
121,122,33,1,Billing,2024-06-28 09:55:01.967908,122,8,2024-06-28 10:00:59.967908,Company_1,12,0 days 00:05:58,5.966666666666667
122,123,507,18,Technical,2024-04-19 10:39:01.967908,123,1,2024-04-19 10:41:48.967908,Company_18,10,0 days 00:02:47,2.783333333333333
123,124,75,48,Billing,2024-07-29 03:21:28.967908,124,28,2024-07-29 03:32:19.967908,Company_48,21,0 days 00:10:51,10.85
124,125,88,21,Technical,2024-07-14 15:59:02.967908,125,6,2024-07-14 16:06:45.967908,Company_21,31,0 days 00:07:43,7.716666666666667
125,126,86,7,General Inquiry,2024-07-16 03:48:18.967908,126,47,2024-07-16 03:50:37.967908,Company_7,35,0 days 00:02:19,2.316666666666667
126,127,22,32,Technical,2024-02-27 08:04:23.967908,127,36,2024-02-27 08:12:21.967908,Company_32,47,0 days 00:07:58,7.966666666666667
127,128,839,21,Technical,2024-03-31 22:49:28.967908,128,11,2024-03-31 22:50:06.967908,Company_21,31,0 days 00:00:38,0.6333333333333333
128,129,180,48,Technical,2024-07-25 01:15:39.967908,129,5,2024-07-25 01:16:30.967908,Company_48,21,0 days 00:00:51,0.85
129,130,30,22,Account,2024-02-22 16:58:52.967908,130,50,2024-02-22 17:00:01.967908,Company_22,5,0 days 00:01:09,1.15
130,131,53,43,Billing,2024-07-21 19:10:07.967908,131,24,2024-07-21 19:17:33.967908,Company_43,6,0 days 00:07:26,7.433333333333334
131,132,43,7,Billing,2024-04-17 17:30:03.967908,132,47,2024-04-17 17:31:22.967908,Company_7,35,0 days 00:01:19,1.3166666666666667
132,133,20,11,Technical,2024-05-04 08:56:48.967908,133,18,2024-05-04 08:57:42.967908,Company_11,4,0 days 00:00:54,0.9
133,134,828,18,Technical,2024-04-08 11:08:46.967908,134,20,2024-04-08 11:11:34.967908,Company_18,10,0 days 00:02:48,2.8
134,135,79,8,Technical,2024-02-29 07:50:40.967908,135,28,2024-02-29 08:06:00.967908,Company_8,15,0 days 00:15:20,15.333333333333334
135,136,93,7,Technical,2024-03-28 10:38:04.967908,136,13,2024-03-28 10:46:01.967908,Company_7,35,0 days 00:07:57,7.95
136,137,830,7,Technical,2024-08-11 18:54:21.967908,137,5,2024-08-11 18:59:42.967908,Company_7,35,0 days 00:05:21,5.35
137,138,29,35,Technical,2024-06-05 14:38:02.967908,138,30,2024-06-05 14:41:30.967908,Company_35,16,0 days 00:03:28,3.466666666666667
138,139,21,33,Billing,2024-08-04 15:33:08.967908,139,1,2024-08-04 15:35:11.967908,Company_33,7,0 days 00:02:03,2.05
139,140,41,19,Account,2024-07-04 21:06:22.967908,140,22,2024-07-04 21:15:30.967908,Company_19,2,0 days 00:09:08,9.133333333333333
140,141,52,7,Technical,2024-04-17 13:53:18.967908,141,18,2024-04-17 13:56:21.967908,Company_7,35,0 days 00:03:03,3.05
141,142,74,48,Account,2024-03-28 18:17:41.967908,142,46,2024-03-28 18:21:13.967908,Company_48,21,0 days 00:03:32,3.533333333333333
142,143,20,11,Technical,2024-06-22 17:56:56.967908,143,5,2024-06-22 18:00:47.967908,Company_11,4,0 days 00:03:51,3.85
143,144,5,35,Account,2024-05-23 09:58:10.967908,144,31,2024-05-23 09:59:28.967908,Company_35,16,0 days 00:01:18,1.3
144,145,79,8,Technical,2024-05-03 07:09:41.967908,145,6,2024-05-03 07:17:35.967908,Company_8,15,0 days 00:07:54,7.9
145,146,122,27,Account,2024-08-06 06:18:20.967908,146,27,2024-08-06 06:19:27.967908,Company_27,2,0 days 00:01:07,1.1166666666666667
146,147,70,10,Account,2024-08-12 01:29:02.967908,147,25,2024-08-12 01:43:34.967908,Company_10,12,0 days 00:14:32,14.533333333333333
147,148,25,4,Technical,2024-06-20 07:17:24.967908,148,29,2024-06-20 07:19:26.967908,Company_4,33,0 days 00:02:02,2.033333333333333
148,149,33,1,Technical,2024-05-15 13:47:16.967908,149,28,2024-05-15 13:50:21.967908,Company_1,12,0 days 00:03:05,3.0833333333333335
149,150,64,23,General Inquiry,2024-03-15 05:12:47.967908,150,16,2024-03-15 05:14:07.967908,Company_23,7,0 days 00:01:20,1.3333333333333333
150,151,5,35,Technical,2024-04-07 21:48:51.967908,151,12,2024-04-07 21:54:02.967908,Company_35,16,0 days 00:05:11,5.183333333333334
151,152,54,26,General Inquiry,2024-03-14 14:06:28.967908,152,20,2024-03-14 14:09:59.967908,Company_26,8,0 days 00:03:31,3.5166666666666666
152,153,38,23,Billing,2024-04-04 08:45:02.967908,153,18,2024-04-04 08:45:22.967908,Company_23,7,0 days 00:00:20,0.3333333333333333
153,154,5,35,Technical,2024-07-10 03:17:01.967908,154,34,2024-07-10 03:17:56.967908,Company_35,16,0 days 00:00:55,0.9166666666666666
154,155,925,38,General Inquiry,2024-06-04 11:32:54.967908,155,23,2024-06-04 11:44:05.967908,Company_38,1,0 days 00:11:11,11.183333333333334
155,156,1,4,General Inquiry,2024-05-31 03:11:58.967908,156,45,2024-05-31 03:13:13.967908,Company_4,33,0 days 00:01:15,1.25
156,157,77,22,Account,2024-04-07 11:50:52.967908,157,27,2024-04-07 11:53:58.967908,Company_22,5,0 days 00:03:06,3.1
157,158,55,40,Billing,2024-07-10 12:43:12.967908,158,49,2024-07-10 12:44:15.967908,Company_40,8,0 days 00:01:03,1.05
158,159,59,7,Billing,2024-06-08 23:45:05.967908,159,17,2024-06-09 00:09:22.967908,Company_7,35,0 days 00:24:17,24.283333333333335
159,160,17,11,Technical,2024-05-09 16:01:46.967908,160,48,2024-05-09 16:08:31.967908,Company_11,4,0 days 00:06:45,6.75
160,161,37,10,Account,2024-08-08 19:32:28.967908,161,21,2024-08-08 19:41:13.967908,Company_10,12,0 days 00:08:45,8.75
161,162,25,4,Billing,2024-06-08 18:50:37.967908,162,50,2024-06-08 18:51:02.967908,Company_4,33,0 days 00:00:25,0.4166666666666667
162,163,831,9,Technical,2024-05-04 00:43:28.967908,163,40,2024-05-04 00:55:01.967908,Company_9,4,0 days 00:11:33,11.55
163,164,81,31,Technical,2024-04-26 18:24:32.967908,164,31,2024-04-26 18:27:05.967908,Company_31,4,0 days 00:02:33,2.55
164,165,257,32,Technical,2024-03-30 01:29:31.967908,165,3,2024-03-30 01:30:37.967908,Company_32,47,0 days 00:01:06,1.1
165,166,83,3,Account,2024-03-14 08:03:21.967908,166,17,2024-03-14 08:06:50.967908,Company_3,14,0 days 00:03:29,3.4833333333333334
166,167,688,11,Billing,2024-05-25 09:56:52.967908,167,50,2024-05-25 09:57:36.967908,Company_11,4,0 days 00:00:44,0.7333333333333333
167,168,60,21,Billing,2024-05-22 07:20:01.967908,168,26,2024-05-22 07:20:32.967908,Company_21,31,0 days 00:00:31,0.5166666666666667
168,169,262,32,Billing,2024-03-05 03:03:06.967908,169,23,2024-03-05 03:06:33.967908,Company_32,47,0 days 00:03:27,3.45
169,170,4,49,General Inquiry,2024-07-12 05:35:00.967908,170,6,2024-07-12 05:36:55.967908,Company_49,10,0 days 00:01:55,1.9166666666666667
170,171,83,3,Billing,2024-02-25 14:57:41.967908,171,28,2024-02-25 15:07:10.967908,Company_3,14,0 days 00:09:29,9.483333333333333
171,172,26,32,Billing,2024-08-01 16:24:49.967908,172,8,2024-08-01 16:27:09.967908,Company_32,47,0 days 00:02:20,2.3333333333333335
172,173,47,48,Billing,2024-03-08 18:23:07.967908,173,45,2024-03-08 18:31:38.967908,Company_48,21,0 days 00:08:31,8.516666666666667
173,174,13,13,Billing,2024-03-17 03:40:31.967908,174,8,2024-03-17 03:46:58.967908,Company_13,9,0 days 00:06:27,6.45
174,175,997,35,Technical,2024-06-17 07:29:37.967908,175,19,2024-06-17 07:31:35.967908,Company_35,16,0 days 00:01:58,1.9666666666666666
175,176,872,46,Technical,2024-03-18 12:57:12.967908,176,38,2024-03-18 13:00:40.967908,Company_46,3,0 days 00:03:28,3.466666666666667
176,177,272,32,Account,2024-07-19 06:44:26.967908,177,29,2024-07-19 06:46:49.967908,Company_32,47,0 days 00:02:23,2.3833333333333333
177,178,68,12,Account,2024-06-27 14:39:20.967908,178,23,2024-06-27 14:40:22.967908,Company_12,4,0 days 00:01:02,1.0333333333333334
178,179,316,32,Technical,2024-05-08 10:47:28.967908,179,47,2024-05-08 10:47:34.967908,Company_32,47,0 days 00:00:06,0.1
179,180,39,45,Billing,2024-06-11 06:51:03.967908,180,32,2024-06-11 06:52:06.967908,Company_45,1,0 days 00:01:03,1.05
180,181,97,32,Account,2024-02-28 19:26:38.967908,181,10,2024-02-28 19:30:25.967908,Company_32,47,0 days 00:03:47,3.783333333333333
181,182,95,14,Technical,2024-05-01 04:31:44.967908,182,27,2024-05-01 04:32:17.967908,Company_14,1,0 days 00:00:33,0.55
182,183,98,26,Technical,2024-04-30 13:51:29.967908,183,49,2024-04-30 14:05:00.967908,Company_26,8,0 days 00:13:31,13.516666666666667
183,184,65,20,Technical,2024-06-11 04:25:28.967908,184,1,2024-06-11 04:32:18.967908,Company_20,1,0 days 00:06:50,6.833333333333333
184,185,39,45,Technical,2024-05-17 08:39:14.967908,185,39,2024-05-17 08:45:35.967908,Company_45,1,0 days 00:06:21,6.35
185,186,48,40,Billing,2024-05-29 05:14:05.967908,186,29,2024-05-29 05:19:27.967908,Company_40,8,0 days 00:05:22,5.366666666666666
186,187,47,48,Technical,2024-04-05 07:03:28.967908,187,45,2024-04-05 07:11:28.967908,Company_48,21,0 days 00:08:00,8.0
187,188,29,35,Technical,2024-06-02 21:36:10.967908,188,3,2024-06-02 21:58:10.967908,Company_35,16,0 days 00:22:00,22.0
188,189,28,28,Technical,2024-08-01 14:54:26.967908,189,47,2024-08-01 14:55:52.967908,Company_28,10,0 days 00:01:26,1.4333333333333333
189,190,72,32,Billing,2024-02-18 16:53:19.967908,190,37,2024-02-18 17:03:15.967908,Company_32,47,0 days 00:09:56,9.933333333333334
190,191,74,48,Technical,2024-06-27 13:44:01.967908,191,31,2024-06-27 13:46:31.967908,Company_48,21,0 days 00:02:30,2.5
191,192,46,6,Account,2024-07-05 10:11:25.967908,192,11,2024-07-05 10:13:37.967908,Company_6,5,0 days 00:02:12,2.2
