"ticket_id","user_id","company_id","issue_category","created_at","match_id","ticket_id","staff_id","matched_at","company_id","company_name","company_size","wait_time","wait_time_exceeded"
"57","910","8","Technical","2024-04-23 06:19:59.967908","57","57","44","2024-04-23 06:26:16.967908","8","Company_8","15","00:06:17","0"
"58","404","48","Technical","2024-06-12 16:57:02.967908","58","58","47","2024-06-12 17:03:52.967908","48","Company_48","21","00:06:50","0"
"59","26","32","Technical","2024-04-07 20:08:23.967908","59","59","50","2024-04-07 20:18:20.967908","32","Company_32","47","00:09:57","0"
"60","78","10","Technical","2024-07-22 04:52:25.967908","60","60","19","2024-07-22 05:02:02.967908","10","Company_10","12","00:09:37","0"
"61","236","25","Technical","2024-02-24 21:52:37.967908","61","61","48","2024-02-24 22:13:21.967908","25","Company_25","4","00:20:44","0"
"62","821","32","Technical","2024-07-07 04:10:47.967908","62","62","32","2024-07-07 04:13:26.967908","32","Company_32","47","00:02:39","0"
"63","260","35","Account","2024-05-15 16:27:30.967908","63","63","15","2024-05-15 16:31:38.967908","35","Company_35","16","00:04:08","0"
"64","92","35","Account","2024-05-30 14:23:14.967908","64","64","5","2024-05-30 14:39:04.967908","35","Company_35","16","00:15:50","0"
"65","91","32","Billing","2024-03-11 17:06:55.967908","65","65","11","2024-03-11 17:13:12.967908","32","Company_32","47","00:06:17","0"
"66","16","32","Technical","2024-08-13 13:35:28.967908","66","66","15","2024-08-13 13:37:59.967908","32","Company_32","47","00:02:31","0"
"67","554","35","Billing","2024-04-29 23:28:53.967908","67","67","29","2024-04-29 23:45:43.967908","35","Company_35","16","00:16:50","0"
"68","95","14","Technical","2024-03-02 18:37:07.967908","68","68","50","2024-03-02 18:43:47.967908","14","Company_14","1","00:06:40","0"
"69","14","4","Technical","2024-06-02 16:04:44.967908","69","69","45","2024-06-02 16:14:03.967908","4","Company_4","33","00:09:19","0"
"70","82","22","Technical","2024-04-13 09:41:35.967908","70","70","4","2024-04-13 09:45:46.967908","22","Company_22","5","00:04:11","0"
"71","24","21","Technical","2024-07-26 12:41:21.967908","71","71","49","2024-07-26 12:51:37.967908","21","Company_21","31","00:10:16","0"
"72","8","40","Billing","2024-06-17 13:03:25.967908","72","72","36","2024-06-17 13:03:31.967908","40","Company_40","8","00:00:06","0"
"73","33","1","Account","2024-06-15 13:53:39.967908","73","73","48","2024-06-15 13:57:08.967908","1","Company_1","12","00:03:29","0"
"74","37","10","Technical","2024-08-06 09:53:15.967908","74","74","23","2024-08-06 09:53:27.967908","10","Company_10","12","00:00:12","0"
"75","2","39","Technical","2024-08-01 19:13:42.967908","75","75","15","2024-08-01 19:21:39.967908","39","Company_39","1","00:07:57","0"
"76","47","48","Technical","2024-04-26 16:43:28.967908","76","76","46","2024-04-26 17:01:57.967908","48","Company_48","21","00:18:29","0"
"77","72","32","Technical","2024-06-07 14:02:21.967908","77","77","44","2024-06-07 14:08:15.967908","32","Company_32","47","00:05:54","0"
"78","83","3","Account","2024-03-24 19:30:47.967908","78","78","3","2024-03-24 19:36:12.967908","3","Company_3","14","00:05:25","0"
"79","93","7","Technical","2024-07-02 06:55:33.967908","79","79","32","2024-07-02 07:24:12.967908","7","Company_7","35","00:28:39","0"
"80","58","4","Technical","2024-02-29 23:32:01.967908","80","80","10","2024-02-29 23:32:05.967908","4","Company_4","33","00:00:04","0"
"81","29","35","General Inquiry","2024-02-25 08:56:25.967908","81","81","40","2024-02-25 09:19:17.967908","35","Company_35","16","00:22:52","0"
"82","17","11","Technical","2024-06-23 21:05:37.967908","82","82","38","2024-06-23 21:05:37.967908","11","Company_11","4","00:00:00","0"
"83","74","48","Account","2024-03-31 17:27:58.967908","83","83","22","2024-03-31 17:31:12.967908","48","Company_48","21","00:03:14","0"
"84","67","4","Technical","2024-07-15 14:08:34.967908","84","84","14","2024-07-15 14:11:46.967908","4","Company_4","33","00:03:12","0"
"85","39","45","Billing","2024-04-12 16:01:44.967908","85","85","17","2024-04-12 16:04:21.967908","45","Company_45","1","00:02:37","0"
"86","11","35","Technical","2024-03-02 23:14:27.967908","86","86","21","2024-03-02 23:15:20.967908","35","Company_35","16","00:00:53","0"
"87","4","49","Technical","2024-07-31 13:27:10.967908","87","87","48","2024-07-31 13:28:55.967908","49","Company_49","10","00:01:45","0"
"88","48","40","Technical","2024-04-01 16:16:02.967908","88","88","15","2024-04-01 16:34:07.967908","40","Company_40","8","00:18:05","0"
"89","68","12","Billing","2024-08-02 17:29:23.967908","89","89","15","2024-08-02 17:37:30.967908","12","Company_12","4","00:08:07","0"
"90","96","32","Technical","2024-03-07 02:05:02.967908","90","90","1","2024-03-07 02:08:36.967908","32","Company_32","47","00:03:34","0"
"91","20","11","Technical","2024-04-30 06:53:59.967908","91","91","24","2024-04-30 09:08:20.967908","11","Company_11","4","02:14:21","1"
"92","76","8","Account","2024-04-10 10:50:03.967908","92","92","12","2024-04-10 10:50:33.967908","8","Company_8","15","00:00:30","0"
"93","4","49","General Inquiry","2024-05-14 12:25:42.967908","93","93","10","2024-05-14 12:28:07.967908","49","Company_49","10","00:02:25","0"
"94","7","1","Billing","2024-06-18 21:53:15.967908","94","94","46","2024-06-18 21:56:17.967908","1","Company_1","12","00:03:02","0"
"95","85","45","Account","2024-07-27 10:37:10.967908","95","95","42","2024-07-27 10:41:56.967908","45","Company_45","1","00:04:46","0"
"96","85","45","Account","2024-04-27 07:37:28.967908","96","96","42","2024-04-27 07:39:03.967908","45","Company_45","1","00:01:35","0"
"97","41","19","Account","2024-03-19 01:24:22.967908","97","97","31","2024-03-19 01:24:44.967908","19","Company_19","2","00:00:22","0"
"98","10","33","Account","2024-04-28 08:33:06.967908","98","98","11","2024-04-28 08:35:04.967908","33","Company_33","7","00:01:58","0"
"99","66","7","Account","2024-04-25 11:03:53.967908","99","99","16","2024-04-25 11:12:45.967908","7","Company_7","35","00:08:52","0"
"100","54","26","Billing","2024-03-28 03:45:24.967908","100","100","9","2024-03-28 03:48:55.967908","26","Company_26","8","00:03:31","0"
"101","63","1","Account","2024-06-25 14:37:33.967908","101","101","47","2024-06-25 14:40:43.967908","1","Company_1","12","00:03:10","0"
"102","10","33","Technical","2024-04-08 07:35:24.967908","102","102","14","2024-04-08 07:51:02.967908","33","Company_33","7","00:15:38","0"
"103","30","22","Technical","2024-07-01 18:06:10.967908","103","103","19","2024-07-01 18:09:21.967908","22","Company_22","5","00:03:11","0"
"104","278","21","Technical","2024-06-28 04:56:46.967908","104","104","31","2024-06-28 04:57:29.967908","21","Company_21","31","00:00:43","0"
"105","864","8","Technical","2024-06-21 07:26:49.967908","105","105","9","2024-06-21 07:36:43.967908","8","Company_8","15","00:09:54","0"
"106","22","32","Account","2024-03-01 08:08:35.967908","106","106","36","2024-03-01 08:11:50.967908","32","Company_32","47","00:03:15","0"
"107","79","8","Technical","2024-06-13 18:08:22.967908","107","107","39","2024-06-13 18:16:59.967908","8","Company_8","15","00:08:37","0"
"108","67","4","Account","2024-06-18 18:35:47.967908","108","108","26","2024-06-18 18:36:55.967908","4","Company_4","33","00:01:08","0"
"109","28","28","General Inquiry","2024-03-20 16:56:50.967908","109","109","8","2024-03-20 17:02:16.967908","28","Company_28","10","00:05:26","0"
"110","858","38","Billing","2024-05-30 04:39:20.967908","110","110","24","2024-05-30 04:52:47.967908","38","Company_38","1","00:13:27","0"
"111","24","21","Billing","2024-07-07 01:21:37.967908","111","111","8","2024-07-07 01:24:10.967908","21","Company_21","31","00:02:33","0"
"112","9","32","Technical","2024-04-04 00:17:05.967908","112","112","19","2024-04-04 00:26:46.967908","32","Company_32","47","00:09:41","0"
"113","31","24","Technical","2024-03-19 04:53:38.967908","113","113","47","2024-03-19 04:54:09.967908","24","Company_24","1","00:00:31","0"
"114","258","8","Account","2024-05-16 05:40:19.967908","114","114","48","2024-05-16 05:47:44.967908","8","Company_8","15","00:07:25","0"
"115","89","49","Technical","2024-04-30 03:46:25.967908","115","115","30","2024-04-30 03:47:31.967908","49","Company_49","10","00:01:06","0"
"116","42","35","Technical","2024-04-08 21:25:52.967908","116","116","22","2024-04-08 21:27:53.967908","35","Company_35","16","00:02:01","0"
"117","931","47","Technical","2024-08-14 04:01:07.967908","117","117","9","2024-08-14 04:03:36.967908","47","Company_47","4","00:02:29","0"
"118","251","18","Billing","2024-06-19 17:59:54.967908","118","118","44","2024-06-19 18:04:21.967908","18","Company_18","10","00:04:27","0"
"119","53","43","Account","2024-06-29 02:27:01.967908","119","119","48","2024-06-29 02:29:42.967908","43","Company_43","6","00:02:41","0"
"120","58","4","Account","2024-06-03 14:57:26.967908","120","120","4","2024-06-03 15:11:06.967908","4","Company_4","33","00:13:40","0"
"121","441","46","Technical","2024-03-30 02:51:51.967908","121","121","37","2024-03-30 03:05:15.967908","46","Company_46","3","00:13:24","0"
"122","33","1","Billing","2024-06-28 09:55:01.967908","122","122","8","2024-06-28 10:00:59.967908","1","Company_1","12","00:05:58","0"
"123","507","18","Technical","2024-04-19 10:39:01.967908","123","123","1","2024-04-19 10:41:48.967908","18","Company_18","10","00:02:47","0"
"124","75","48","Billing","2024-07-29 03:21:28.967908","124","124","28","2024-07-29 03:32:19.967908","48","Company_48","21","00:10:51","0"
"125","88","21","Technical","2024-07-14 15:59:02.967908","125","125","6","2024-07-14 16:06:45.967908","21","Company_21","31","00:07:43","0"
"126","86","7","General Inquiry","2024-07-16 03:48:18.967908","126","126","47","2024-07-16 03:50:37.967908","7","Company_7","35","00:02:19","0"
"127","22","32","Technical","2024-02-27 08:04:23.967908","127","127","36","2024-02-27 08:12:21.967908","32","Company_32","47","00:07:58","0"
"128","839","21","Technical","2024-03-31 22:49:28.967908","128","128","11","2024-03-31 22:50:06.967908","21","Company_21","31","00:00:38","0"
"129","180","48","Technical","2024-07-25 01:15:39.967908","129","129","5","2024-07-25 01:16:30.967908","48","Company_48","21","00:00:51","0"
"130","30","22","Account","2024-02-22 16:58:52.967908","130","130","50","2024-02-22 17:00:01.967908","22","Company_22","5","00:01:09","0"
"131","53","43","Billing","2024-07-21 19:10:07.967908","131","131","24","2024-07-21 19:17:33.967908","43","Company_43","6","00:07:26","0"
"132","43","7","Billing","2024-04-17 17:30:03.967908","132","132","47","2024-04-17 17:31:22.967908","7","Company_7","35","00:01:19","0"
"133","20","11","Technical","2024-05-04 08:56:48.967908","133","133","18","2024-05-04 08:57:42.967908","11","Company_11","4","00:00:54","0"
"134","828","18","Technical","2024-04-08 11:08:46.967908","134","134","20","2024-04-08 11:11:34.967908","18","Company_18","10","00:02:48","0"
"135","79","8","Technical","2024-02-29 07:50:40.967908","135","135","28","2024-02-29 08:06:00.967908","8","Company_8","15","00:15:20","0"
"136","93","7","Technical","2024-03-28 10:38:04.967908","136","136","13","2024-03-28 10:46:01.967908","7","Company_7","35","00:07:57","0"
"137","830","7","Technical","2024-08-11 18:54:21.967908","137","137","5","2024-08-11 18:59:42.967908","7","Company_7","35","00:05:21","0"
"138","29","35","Technical","2024-06-05 14:38:02.967908","138","138","30","2024-06-05 14:41:30.967908","35","Company_35","16","00:03:28","0"
"139","21","33","Billing","2024-08-04 15:33:08.967908","139","139","1","2024-08-04 15:35:11.967908","33","Company_33","7","00:02:03","0"
"140","41","19","Account","2024-07-04 21:06:22.967908","140","140","22","2024-07-04 21:15:30.967908","19","Company_19","2","00:09:08","0"
"141","52","7","Technical","2024-04-17 13:53:18.967908","141","141","18","2024-04-17 13:56:21.967908","7","Company_7","35","00:03:03","0"
"142","74","48","Account","2024-03-28 18:17:41.967908","142","142","46","2024-03-28 18:21:13.967908","48","Company_48","21","00:03:32","0"
"143","20","11","Technical","2024-06-22 17:56:56.967908","143","143","5","2024-06-22 18:00:47.967908","11","Company_11","4","00:03:51","0"
"144","5","35","Account","2024-05-23 09:58:10.967908","144","144","31","2024-05-23 09:59:28.967908","35","Company_35","16","00:01:18","0"
"145","79","8","Technical","2024-05-03 07:09:41.967908","145","145","6","2024-05-03 07:17:35.967908","8","Company_8","15","00:07:54","0"
"146","122","27","Account","2024-08-06 06:18:20.967908","146","146","27","2024-08-06 06:19:27.967908","27","Company_27","2","00:01:07","0"
"147","70","10","Account","2024-08-12 01:29:02.967908","147","147","25","2024-08-12 01:43:34.967908","10","Company_10","12","00:14:32","0"
"148","25","4","Technical","2024-06-20 07:17:24.967908","148","148","29","2024-06-20 07:19:26.967908","4","Company_4","33","00:02:02","0"
"149","33","1","Technical","2024-05-15 13:47:16.967908","149","149","28","2024-05-15 13:50:21.967908","1","Company_1","12","00:03:05","0"
"150","64","23","General Inquiry","2024-03-15 05:12:47.967908","150","150","16","2024-03-15 05:14:07.967908","23","Company_23","7","00:01:20","0"
"151","5","35","Technical","2024-04-07 21:48:51.967908","151","151","12","2024-04-07 21:54:02.967908","35","Company_35","16","00:05:11","0"
"152","54","26","General Inquiry","2024-03-14 14:06:28.967908","152","152","20","2024-03-14 14:09:59.967908","26","Company_26","8","00:03:31","0"
"153","38","23","Billing","2024-04-04 08:45:02.967908","153","153","18","2024-04-04 08:45:22.967908","23","Company_23","7","00:00:20","0"
"154","5","35","Technical","2024-07-10 03:17:01.967908","154","154","34","2024-07-10 03:17:56.967908","35","Company_35","16","00:00:55","0"
"155","925","38","General Inquiry","2024-06-04 11:32:54.967908","155","155","23","2024-06-04 11:44:05.967908","38","Company_38","1","00:11:11","0"
"156","1","4","General Inquiry","2024-05-31 03:11:58.967908","156","156","45","2024-05-31 03:13:13.967908","4","Company_4","33","00:01:15","0"
"157","77","22","Account","2024-04-07 11:50:52.967908","157","157","27","2024-04-07 11:53:58.967908","22","Company_22","5","00:03:06","0"
"158","55","40","Billing","2024-07-10 12:43:12.967908","158","158","49","2024-07-10 12:44:15.967908","40","Company_40","8","00:01:03","0"
"159","59","7","Billing","2024-06-08 23:45:05.967908","159","159","17","2024-06-09 00:09:22.967908","7","Company_7","35","00:24:17","0"
"160","17","11","Technical","2024-05-09 16:01:46.967908","160","160","48","2024-05-09 16:08:31.967908","11","Company_11","4","00:06:45","0"
"161","37","10","Account","2024-08-08 19:32:28.967908","161","161","21","2024-08-08 19:41:13.967908","10","Company_10","12","00:08:45","0"
"162","25","4","Billing","2024-06-08 18:50:37.967908","162","162","50","2024-06-08 18:51:02.967908","4","Company_4","33","00:00:25","0"
"163","831","9","Technical","2024-05-04 00:43:28.967908","163","163","40","2024-05-04 00:55:01.967908","9","Company_9","4","00:11:33","0"
"164","81","31","Technical","2024-04-26 18:24:32.967908","164","164","31","2024-04-26 18:27:05.967908","31","Company_31","4","00:02:33","0"
"165","257","32","Technical","2024-03-30 01:29:31.967908","165","165","3","2024-03-30 01:30:37.967908","32","Company_32","47","00:01:06","0"
"166","83","3","Account","2024-03-14 08:03:21.967908","166","166","17","2024-03-14 08:06:50.967908","3","Company_3","14","00:03:29","0"
"167","688","11","Billing","2024-05-25 09:56:52.967908","167","167","50","2024-05-25 09:57:36.967908","11","Company_11","4","00:00:44","0"
"168","60","21","Billing","2024-05-22 07:20:01.967908","168","168","26","2024-05-22 07:20:32.967908","21","Company_21","31","00:00:31","0"
"169","262","32","Billing","2024-03-05 03:03:06.967908","169","169","23","2024-03-05 03:06:33.967908","32","Company_32","47","00:03:27","0"
"170","4","49","General Inquiry","2024-07-12 05:35:00.967908","170","170","6","2024-07-12 05:36:55.967908","49","Company_49","10","00:01:55","0"
"171","83","3","Billing","2024-02-25 14:57:41.967908","171","171","28","2024-02-25 15:07:10.967908","3","Company_3","14","00:09:29","0"
"172","26","32","Billing","2024-08-01 16:24:49.967908","172","172","8","2024-08-01 16:27:09.967908","32","Company_32","47","00:02:20","0"
"173","47","48","Billing","2024-03-08 18:23:07.967908","173","173","45","2024-03-08 18:31:38.967908","48","Company_48","21","00:08:31","0"
"174","13","13","Billing","2024-03-17 03:40:31.967908","174","174","8","2024-03-17 03:46:58.967908","13","Company_13","9","00:06:27","0"
"175","997","35","Technical","2024-06-17 07:29:37.967908","175","175","19","2024-06-17 07:31:35.967908","35","Company_35","16","00:01:58","0"
"176","872","46","Technical","2024-03-18 12:57:12.967908","176","176","38","2024-03-18 13:00:40.967908","46","Company_46","3","00:03:28","0"
"177","272","32","Account","2024-07-19 06:44:26.967908","177","177","29","2024-07-19 06:46:49.967908","32","Company_32","47","00:02:23","0"
"178","68","12","Account","2024-06-27 14:39:20.967908","178","178","23","2024-06-27 14:40:22.967908","12","Company_12","4","00:01:02","0"
"179","316","32","Technical","2024-05-08 10:47:28.967908","179","179","47","2024-05-08 10:47:34.967908","32","Company_32","47","00:00:06","0"
"180","39","45","Billing","2024-06-11 06:51:03.967908","180","180","32","2024-06-11 06:52:06.967908","45","Company_45","1","00:01:03","0"
"181","97","32","Account","2024-02-28 19:26:38.967908","181","181","10","2024-02-28 19:30:25.967908","32","Company_32","47","00:03:47","0"
"182","95","14","Technical","2024-05-01 04:31:44.967908","182","182","27","2024-05-01 04:32:17.967908","14","Company_14","1","00:00:33","0"
"183","98","26","Technical","2024-04-30 13:51:29.967908","183","183","49","2024-04-30 14:05:00.967908","26","Company_26","8","00:13:31","0"
"184","65","20","Technical","2024-06-11 04:25:28.967908","184","184","1","2024-06-11 04:32:18.967908","20","Company_20","1","00:06:50","0"
"185","39","45","Technical","2024-05-17 08:39:14.967908","185","185","39","2024-05-17 08:45:35.967908","45","Company_45","1","00:06:21","0"
"186","48","40","Billing","2024-05-29 05:14:05.967908","186","186","29","2024-05-29 05:19:27.967908","40","Company_40","8","00:05:22","0"
"187","47","48","Technical","2024-04-05 07:03:28.967908","187","187","45","2024-04-05 07:11:28.967908","48","Company_48","21","00:08:00","0"
"188","29","35","Technical","2024-06-02 21:36:10.967908","188","188","3","2024-06-02 21:58:10.967908","35","Company_35","16","00:22:00","0"
"189","28","28","Technical","2024-08-01 14:54:26.967908","189","189","47","2024-08-01 14:55:52.967908","28","Company_28","10","00:01:26","0"
"190","72","32","Billing","2024-02-18 16:53:19.967908","190","190","37","2024-02-18 17:03:15.967908","32","Company_32","47","00:09:56","0"
"191","74","48","Technical","2024-06-27 13:44:01.967908","191","191","31","2024-06-27 13:46:31.967908","48","Company_48","21","00:02:30","0"
"192","46","6","Account","2024-07-05 10:11:25.967908","192","192","11","2024-07-05 10:13:37.967908","6","Company_6","5","00:02:12","0"
"193","62","42","Technical","2024-03-09 17:13:59.967908","193","193","22","2024-03-09 17:15:15.967908","42","Company_42","8","00:01:16","0"
"194","4","49","Technical","2024-06-27 20:23:02.967908","194","194","18","2024-06-27 20:23:24.967908","49","Company_49","10","00:00:22","0"
"195","46","6","Technical","2024-08-06 06:47:46.967908","195","195","35","2024-08-06 06:48:19.967908","6","Company_6","5","00:00:33","0"
"196","70","10","Billing","2024-05-30 17:50:47.967908","196","196","6","2024-05-30 17:57:31.967908","10","Company_10","12","00:06:44","0"
"197","73","13","Account","2024-07-11 06:43:39.967908","197","197","3","2024-07-11 06:47:26.967908","13","Company_13","9","00:03:47","0"
"198","97","32","Account","2024-04-08 06:52:43.967908","198","198","5","2024-04-08 06:54:54.967908","32","Company_32","47","00:02:11","0"
"199","750","23","Technical","2024-07-14 17:18:46.967908","199","199","9","2024-07-14 17:20:20.967908","23","Company_23","7","00:01:34","0"
"200","24","21","Technical","2024-06-19 22:28:54.967908","200","200","28","2024-06-19 22:32:30.967908","21","Company_21","31","00:03:36","0"
"201","78","10","Account","2024-04-22 12:42:57.967908","201","201","19","2024-04-22 12:48:36.967908","10","Company_10","12","00:05:39","0"
"202","29","35","General Inquiry","2024-03-09 03:15:14.967908","202","202","28","2024-03-09 03:16:16.967908","35","Company_35","16","00:01:02","0"
"203","8","40","General Inquiry","2024-04-13 11:11:35.967908","203","203","27","2024-04-13 11:13:02.967908","40","Company_40","8","00:01:27","0"
"204","42","35","Technical","2024-05-10 21:32:10.967908","204","204","13","2024-05-10 21:36:06.967908","35","Company_35","16","00:03:56","0"
"205","58","4","Technical","2024-03-18 04:27:06.967908","205","205","38","2024-03-18 04:27:57.967908","4","Company_4","33","00:00:51","0"
"206","34","4","Technical","2024-05-14 13:53:20.967908","206","206","43","2024-05-14 13:54:03.967908","4","Company_4","33","00:00:43","0"
